R	10B1_4A1	10B1_5B1	10B1_6B1	10B2_4A1	10B2_5B2	10B2_6B2	5A2_10B1	5A2_10B2	6A2_10B1	6A2_10B2	10A2_5B1	10A2_6B1	10A2_5B2	10A2_6B2	10A2_6A2
4.46e-08	303156473774313.25	315347111133562.8	281665033741122.56	303156473774313.25	315347111133562.8	281665033741122.56	300818146889825.9	300818146889825.9	265158661874338.6	265158661874338.6	322904090825284.75	289222013432844.44	322904090825284.75	289222013432844.44	272715641566060.5
4.64e-08	297507033023741.44	308918779317636.6	277610169860512.62	297507033023741.44	308918779317636.6	277610169860512.62	295221624423023.4	295221624423023.4	261384099560838.3	261384099560838.3	320546746429772.6	289238136972648.6	320546746429772.6	289238136972648.6	273012066672974.28
4.85e-08	293621259610628.5	303949834681637.4	275795237923018.56	293621259610628.5	303949834681637.4	275794824498559.28	291420602962940.1	291420602962940.1	259507980850388.9	259507980850388.9	317966153000219.7	289811556241600.94	317966153000219.7	289811142817141.6	273524299168971.25
5.11e-08	291255233310875.8	299998740260378.1	276247110499677.12	291255233310875.8	299998740260378.1	276247110499677.12	289194727442041.2	289194727442041.2	259973083000337.56	259973083000337.56	314803458397471.25	291051828636770.25	314803458397471.25	291051828636770.25	274777801137430.7
5.4299999999999997e-08	290453190499311.25	296962966867888.94	279062942258490.12	290453190499311.25	296962966867888.94	279062942258490.12	288610145722092.56	288610145722092.56	269767514093115.06	269767514093115.06	310787869812283.4	292887845202884.56	310787869812283.4	292887845202884.56	283592417037509.5
5.8499999999999994e-08	291099372411973.44	294566760596718.5	283868584355325.0	291099372411973.44	294566760596718.5	283868584355325.0	289549445341295.8	289549445341295.8	279420140704500.53	279420140704500.53	305551853187165.7	294853676945772.1	305551853187165.7	294853676945772.1	290405233294947.7
6.440000000000001e-08	292739012519787.56	292657981386894.3	289138088338135.44	292739012519787.56	292657981386894.3	289138088338135.44	291491711913511.1	291491711913511.1	287371527024757.7	287371527024757.7	299360826822798.8	295840933774039.94	299360826822798.8	295840933774039.94	294074372460662.2
7.37e-08	294286045614554.5	293115228476822.75	290884805286871.5	294286045614554.5	293115228476822.75	290884805286871.5	293259926920027.75	293259926920027.75	292312358811641.2	292312358811641.2	295790496032322.7	293560072842371.5	295790496032322.7	293560072842371.5	294987626367141.2
9.28e-08	294476634144522.1	292707178859932.0	291676099076594.7	294476634144522.1	292707178859932.0	291676099076594.7	294670943485226.8	294670943485226.8	291281279033002.25	291281279033002.25	294645311182858.7	293614231399521.4	294645311182858.7	293614231399521.4	293219411355928.94
1e-06	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25	293388245898472.25
