 R = [9.28, 7.37, 6.44, 5.85, 5.43, 5.11, 4.85, 4.64, 4.46, 4.31, 4.17, 4.05, 3.95, 3.85, 3.76, 3.68, 3.61, 3.54, 3.48, 3.42]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
  22   2   -529.49994304      0.06054010    13287.02      0.06255048    13728.24      1.7021
  23   2   -529.49907216      0.06141098    13478.15      0.06342136    13919.38      1.7258
  24   2   -529.49788294      0.06260019    13739.15      0.06461058    14180.38      1.7581
 
  25   3   -529.56245107     -0.00196793     -431.91      0.00004245        9.32      0.0012
  26   3   -529.55991057      0.00057257      125.66      0.00258295      566.89      0.0703
  27   3   -529.55299677      0.00748637     1643.07      0.00949675     2084.30      0.2584
  28   3   -529.51245859      0.04802455    10540.17      0.05003493    10981.40      1.3615
  29   3   -529.50712605      0.05335709    11710.53      0.05536747    12151.75      1.5066
  30   3   -529.50669308      0.05379006    11805.55      0.05580044    12246.78      1.5184
  31   3   -529.50594006      0.05454307    11970.82      0.05655346    12412.05      1.5389
  32   3   -529.50417013      0.05631301    12359.28      0.05832339    12800.50      1.5871
  33   3   -529.50333115      0.05715199    12543.41      0.05916237    12984.64      1.6099
  34   3   -529.49994304      0.06054010    13287.02      0.06255048    13728.24      1.7021
  35   3   -529.49907216      0.06141098    13478.15      0.06342136    13919.38      1.7258
  36   3   -529.49788294      0.06260019    13739.15      0.06461058    14180.38      1.7581
 
  37   4   -529.56249352     -0.00201038     -441.23      0.00000000        0.00      0.0000
  38   4   -529.56243637     -0.00195323     -428.68      0.00005715       12.54      0.0016
  39   4   -529.55643338      0.00404976      888.82      0.00606014     1330.05      0.1649
  40   4   -529.51245868      0.04802446    10540.15      0.05003484    10981.38      1.3615
  41   4   -529.50692401      0.05355913    11754.87      0.05556952    12196.10      1.5121
  42   4   -529.50646824      0.05401490    11854.90      0.05602528    12296.13      1.5245
  43   4   -529.50622658      0.05425656    11907.94      0.05626694    12349.17      1.5311
  44   4   -529.50440253      0.05608061    12308.27      0.05809099    12749.50      1.5807
  45   4   -529.50323452      0.05724861    12564.62      0.05925900    13005.85      1.6125
  46   4   -529.49960864      0.06087450    13360.41      0.06288488    13801.64      1.7112
  47   4   -529.49943876      0.06104438    13397.69      0.06305476    13838.92      1.7158
  48   4   -529.49786160      0.06262153    13743.84      0.06463192    14185.07      1.7587

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56242994     -0.00201037     -441.22      0.00000000        0.00      0.0000
   2   1   -529.55991887      0.00050071      109.89      0.00251107      551.12      0.0683
   3   1   -529.55307876      0.00734081     1611.12      0.00935118     2052.35      0.2545
   4   1   -529.50694045      0.05347913    11737.31      0.05548949    12178.54      1.5099
   5   1   -529.50616782      0.05425176    11906.88      0.05626212    12348.11      1.5310
   6   1   -529.50586759      0.05455199    11972.78      0.05656235    12414.00      1.5391
   7   1   -529.50349119      0.05692838    12494.34      0.05893875    12935.56      1.6038
   8   1   -529.50293703      0.05748254    12615.96      0.05949291    13057.18      1.6189
   9   1   -529.49967499      0.06074458    13331.89      0.06275495    13773.12      1.7076
  10   1   -529.49943253      0.06098704    13385.11      0.06299741    13826.33      1.7142
  11   1   -529.49817279      0.06224679    13661.59      0.06425715    14102.81      1.7485
  12   1   -529.49123339      0.06918618    15184.61      0.07119655    15625.84      1.9374
 
  13   2   -529.56237955     -0.00195998     -430.17      0.00005039       11.06      0.0014
  14   2   -529.55983694      0.00058264      127.87      0.00259300      569.10      0.0706
  15   2   -529.55291902      0.00750055     1646.18      0.00951092     2087.41      0.2588
  16   2   -529.51235893      0.04806064    10548.09      0.05007101    10989.32      1.3625
  17   2   -529.50715194      0.05326764    11690.90      0.05527800    12132.12      1.5042
  18   2   -529.50657743      0.05384214    11816.98      0.05585251    12258.21      1.5198
  19   2   -529.50568189      0.05473768    12013.53      0.05674805    12454.76      1.5442
  20   2   -529.50408354      0.05633604    12364.33      0.05834640    12805.56      1.5877
  21   2   -529.50300187      0.05741770    12601.73      0.05942807    13042.95      1.6171
  22   2   -529.49989550      0.06052407    13283.50      0.06253444    13724.72      1.7016
  23   2   -529.49903664      0.06138294    13472.00      0.06339330    13913.22      1.7250
  24   2   -529.49747410      0.06294548    13814.94      0.06495584    14256.16      1.7675
 
  25   3   -529.56237956     -0.00195998     -430.17      0.00005039       11.06      0.0014
  26   3   -529.55983694      0.00058263      127.87      0.00259300      569.10      0.0706
  27   3   -529.55291903      0.00750054     1646.18      0.00951091     2087.40      0.2588
  28   3   -529.51235893      0.04806064    10548.09      0.05007101    10989.32      1.3625
  29   3   -529.50715194      0.05326764    11690.90      0.05527800    12132.12      1.5042
  30   3   -529.50657743      0.05384215    11816.99      0.05585251    12258.21      1.5198
  31   3   -529.50568189      0.05473768    12013.53      0.05674805    12454.76      1.5442
  32   3   -529.50408354      0.05633604    12364.33      0.05834640    12805.56      1.5877
  33   3   -529.50300187      0.05741770    12601.73      0.05942807    13042.95      1.6171
  34   3   -529.49989550      0.06052407    13283.50      0.06253444    13724.72      1.7016
  35   3   -529.49903664      0.06138294    13472.00      0.06339330    13913.22      1.7250
  36   3   -529.49747410      0.06294548    13814.94      0.06495584    14256.16      1.7675
 
  37   4   -529.56242994     -0.00201037     -441.22      0.00000000        0.00      0.0000
  38   4   -529.56236199     -0.00194241     -426.31      0.00006795       14.91      0.0018
  39   4   -529.55636433      0.00405525      890.02      0.00606561     1331.25      0.1651
  40   4   -529.51235967      0.04805991    10547.93      0.05007027    10989.15      1.3625
  41   4   -529.50689061      0.05352896    11748.25      0.05553933    12189.47      1.5113
  42   4   -529.50618379      0.05423579    11903.38      0.05624616    12344.60      1.5305
  43   4   -529.50616333      0.05425625    11907.87      0.05626661    12349.09      1.5311
  44   4   -529.50430404      0.05611554    12315.94      0.05812591    12757.16      1.5817
  45   4   -529.50293309      0.05748648    12616.82      0.05949685    13058.05      1.6190
  46   4   -529.49953740      0.06088218    13362.09      0.06289254    13803.32      1.7114
  47   4   -529.49942129      0.06099829    13387.58      0.06300866    13828.80      1.7146
  48   4   -529.49748468      0.06293490    13812.61      0.06494526    14253.84      1.7673

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56234489     -0.00201036     -441.22      0.00000000        0.00      0.0000
   2   1   -529.55982769      0.00050684      111.24      0.00251719      552.46      0.0685
   3   1   -529.55297222      0.00736231     1615.84      0.00937267     2057.06      0.2550
   4   1   -529.50693180      0.05340273    11720.54      0.05541309    12161.77      1.5079
   5   1   -529.50610741      0.05422712    11901.48      0.05623748    12342.70      1.5303
   6   1   -529.50573861      0.05459592    11982.42      0.05660627    12423.64      1.5403
   7   1   -529.50334911      0.05698542    12506.85      0.05899577    12948.08      1.6054
   8   1   -529.50260973      0.05772480    12669.13      0.05973516    13110.35      1.6255
   9   1   -529.49957152      0.06076301    13335.94      0.06277337    13777.16      1.7082
  10   1   -529.49939659      0.06093794    13374.33      0.06294830    13815.55      1.7129
  11   1   -529.49778003      0.06255450    13729.13      0.06456485    14170.35      1.7569
  12   1   -529.49100249      0.06933204    15216.62      0.07134240    15657.85      1.9413
 
  13   2   -529.56228431     -0.00194978     -427.93      0.00006057       13.29      0.0016
  14   2   -529.55973965      0.00059488      130.56      0.00260524      571.78      0.0709
  15   2   -529.55281857      0.00751596     1649.56      0.00952631     2090.78      0.2592
  16   2   -529.51226292      0.04807161    10550.50      0.05008197    10991.72      1.3628
  17   2   -529.50718163      0.05315290    11665.71      0.05516326    12106.94      1.5011
  18   2   -529.50650062      0.05383391    11815.18      0.05584427    12256.40      1.5196
  19   2   -529.50540089      0.05493364    12056.54      0.05694400    12497.76      1.5495
  20   2   -529.50397473      0.05635980    12369.55      0.05837016    12810.77      1.5883
  21   2   -529.50264473      0.05768980    12661.45      0.05970015    13102.67      1.6245
  22   2   -529.49982962      0.06050491    13279.29      0.06251526    13720.51      1.7011
  23   2   -529.49902172      0.06131281    13456.61      0.06332317    13897.83      1.7231
  24   2   -529.49701259      0.06332194    13897.56      0.06533229    14338.78      1.7778
 
  25   3   -529.56228432     -0.00194979     -427.93      0.00006057       13.29      0.0016
  26   3   -529.55973965      0.00059488      130.56      0.00260523      571.78      0.0709
  27   3   -529.55281858      0.00751595     1649.56      0.00952630     2090.78      0.2592
